survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,fare_log,fare_boxcox
0,0,1,47.0,0,0,52.0,2,1,1,1,0,0,1,3.970291913552122,3.21692355414975
0,2,0,14.5,1,0,14.4542,0,3,3,0,1,0,0,2.737880811060884,2.36408082925627
0,2,1,22.0,0,0,8.05,2,3,1,1,0,0,1,2.2027647577118348,1.9562242515698263
0,2,0,20.0,1,0,9.825,2,3,2,0,0,0,0,2.3818582738885534,2.095407507298567
0,2,0,17.0,0,0,14.4583,0,3,2,0,1,0,1,2.738146075922933,2.3642771152879596
0,2,1,21.0,0,0,7.925,2,3,1,1,0,0,1,2.188856327665703,1.9453000941564331
0,2,1,70.5,0,0,7.75,1,3,1,1,2,0,1,2.169053700369523,1.9297175682817873
0,1,1,29.0,1,0,21.0,2,2,1,1,0,0,0,3.091042453358316,2.6204004582415186
0,0,1,24.0,0,1,247.5208,0,1,1,1,1,0,0,5.515526544247129,4.135163490657295
0,2,0,2.0,4,2,31.275,2,3,3,0,0,0,0,3.4742929367327062,2.8875210149241997
0,1,1,21.0,2,0,73.5,2,2,1,1,0,0,0,4.310799125385514,3.4328792936384778
0,1,1,32.5,1,0,30.0708,0,2,1,1,1,0,0,3.436268471383741,2.8615187940664017
1,1,0,32.5,0,0,13.0,2,2,2,0,0,1,1,2.6390573296152584,2.2905552238882727
0,0,1,54.0,0,1,77.2875,2,1,1,1,0,0,0,4.360387947851531,3.4636601196328103
1,2,1,12.0,1,0,11.2417,0,3,3,0,1,1,0,2.5048481563289,2.189413987999435
0,2,1,24.0,0,0,7.75,1,3,1,1,2,0,1,2.169053700369523,1.9297175682817873
1,2,1,24.0,0,0,7.1417,2,3,1,1,0,1,1,2.0969990034181696,1.8727310235464574
1,2,0,24.0,1,1,22.3583,0,3,2,0,1,1,0,3.1509523813392697,2.662902984828209
0,2,1,45.0,0,0,6.975,2,3,1,1,0,0,1,2.076311648670908,1.8562862076955402
0,2,1,33.0,0,0,7.8958,0,3,1,1,1,0,1,2.1855792552411137,1.9427237356264735
0,2,1,20.0,0,0,7.05,2,3,1,1,0,0,1,2.0856720914304723,1.8637316568815194
0,2,0,47.0,1,0,14.5,2,3,2,0,0,0,0,2.740840023925201,2.3662702112144007
0,1,1,25.0,0,0,13.0,2,2,1,1,0,0,1,2.6390573296152584,2.2905552238882727
0,1,1,23.0,0,0,15.0458,0,2,1,1,1,0,1,2.775447133088262,2.391821550659525
1,0,0,19.0,0,2,26.2833,2,1,2,0,0,1,0,3.3062747934011893,2.7717994863015303
0,0,1,37.0,1,0,53.1,2,1,1,1,0,0,0,3.9908341858524357,3.2301823390039366
0,2,1,16.0,0,0,9.2167,2,3,1,1,0,0,1,2.3240236363515288,2.0507604654306775
0,0,1,24.0,0,0,79.2,0,1,1,1,1,0,1,4.384523514872469,3.478580940761489
0,2,0,24.0,0,2,15.2458,0,3,2,0,1,0,0,2.7878344138303452,2.4009437945387266
1,2,0,22.0,0,0,7.75,2,3,2,0,0,1,1,2.169053700369523,1.9297175682817873
1,2,0,24.0,1,0,15.85,2,3,2,0,0,1,0,2.8243506567983707,2.427762883745839
0,2,1,19.0,0,0,6.75,1,3,1,1,2,0,1,2.0476928433652555,1.8334747375709632
0,1,1,18.0,0,0,11.5,2,2,1,1,0,0,1,2.5257286443082556,2.20524795050654
0,1,1,19.0,1,1,36.75,2,2,1,1,0,0,0,3.6309854756950335,2.9935317997202637
1,2,1,27.0,0,0,7.7958,2,3,1,1,0,1,1,2.174274334826008,1.9338289379472668
0,2,0,9.0,2,2,34.375,2,3,3,0,0,0,0,3.5660053559634015,2.9497909400864017
0,1,1,36.5,0,2,26.0,2,2,1,1,0,0,0,3.295836866004329,2.7645396242206477
0,1,1,42.0,0,0,13.0,2,2,1,1,0,0,1,2.6390573296152584,2.2905552238882727
0,1,1,51.0,0,0,12.525,2,2,1,1,0,0,1,2.6045398247325453,2.264684968543132
1,0,0,22.0,1,0,66.6,2,1,2,0,0,1,0,4.213607983048918,3.3720615354798955
0,2,1,55.5,0,0,8.05,2,3,1,1,0,0,1,2.2027647577118348,1.9562242515698263
0,2,1,40.5,0,2,14.5,2,3,1,1,0,0,0,2.740840023925201,2.3662702112144007
0,2,1,24.0,0,0,7.3125,2,3,1,1,0,0,1,2.1177604059819726,1.8891971245105252
0,0,1,51.0,0,1,61.3792,0,1,1,1,1,0,0,4.133231886474144,3.321272376270331
1,2,0,16.0,0,0,7.7333,1,3,2,0,2,1,1,2.167143305297764,1.9282124981249846
0,2,1,30.0,0,0,8.05,2,3,1,1,0,0,1,2.2027647577118348,1.9562242515698263
0,2,1,24.0,0,0,8.6625,2,3,1,1,0,0,1,2.2682524139135403,2.0074365035447177
0,2,1,24.0,8,2,69.55,2,3,1,1,0,0,0,4.256321678298823,3.3988699015533936
0,2,1,44.0,0,1,16.1,2,3,1,1,0,0,0,2.8390784635086144,2.438549167642342
1,1,0,40.0,0,0,15.75,2,2,2,0,0,1,1,2.8183982582710754,2.4233985328452223
0,2,1,26.0,0,0,7.775,2,3,1,1,0,0,1,2.1719067693519296,1.9319647182517203
0,2,1,17.0,0,0,8.6625,2,3,1,1,0,0,1,2.2682524139135403,2.0074365035447177
0,2,1,1.0,4,1,39.6875,2,3,3,0,0,0,0,3.705920919968788,3.043587395129805
1,2,1,9.0,0,2,20.525,2,3,3,0,0,1,0,3.0692150503137943,2.6048454743946965
1,0,0,37.0,0,1,55.0,2,1,2,0,0,1,0,4.02535169073515,3.2523939341209185
0,2,0,45.0,1,4,27.9,2,3,2,0,0,0,0,3.3638415951183864,2.8116893604126076
0,0,1,37.0,0,0,25.925,2,1,1,1,0,0,1,3.2930552230424524,2.762603508995655
0,2,1,28.0,0,0,56.4958,2,3,1,1,0,0,1,4.05171190165724,3.2692997101951935
0,0,1,61.0,0,0,33.5,2,1,1,1,0,0,1,3.5409593240373143,2.932847751337199
0,2,1,4.0,4,1,29.125,1,3,3,0,2,0,0,3.405355391810819,2.840299252028104
1,2,0,1.0,1,1,11.1333,2,3,3,0,0,1,0,2.495953738718064,2.182658176000245
0,0,1,56.0,0,0,30.6958,0,1,1,1,1,0,1,3.4561841799918147,2.875151289871443
0,2,1,18.0,1,1,7.8542,2,3,1,1,0,0,0,2.180891922715322,1.93903704877462
0,2,1,24.0,3,1,25.4667,2,3,1,1,0,0,0,3.275887339030031,2.7506409766262077
0,0,0,50.0,0,0,28.7125,0,1,2,0,1,0,1,3.391567832686312,2.8308118218545744
0,1,1,30.0,0,0,13.0,2,2,1,1,0,0,1,2.6390573296152584,2.2905552238882727
0,2,1,36.0,0,0,0.0,2,3,1,1,0,0,1,0.0,0.0
0,2,0,24.0,8,2,69.55,2,3,2,0,0,0,0,4.256321678298823,3.3988699015533936
0,1,1,29.0,0,0,15.05,0,2,1,1,1,0,1,2.775708849576025,2.3920144125223017
0,2,1,9.0,4,2,31.3875,2,3,3,0,0,0,0,3.4777725458882283,2.889895044840141
1,1,1,1.0,2,1,39.0,2,2,3,0,0,1,0,3.6888794541139363,3.03224020377158
1,2,0,4.0,0,2,22.025,2,3,3,0,0,1,0,3.1365805821413706,2.652732568994766
0,0,1,37.0,0,0,50.0,2,1,1,1,0,0,1,3.9318256327243257,3.1920151994671424
1,2,0,24.0,1,0,15.5,1,3,2,0,2,1,0,2.803360380906535,2.412359892682302
1,0,1,45.0,0,0,26.55,2,1,1,1,0,1,1,3.3160025355989236,2.778557895881126
0,2,1,40.0,1,1,15.5,1,3,1,1,2,0,0,2.803360380906535,2.412359892682302
0,2,1,36.0,0,0,7.8958,2,3,1,1,0,0,1,2.1855792552411137,1.9427237356264735
1,1,0,32.0,0,0,13.0,2,2,2,0,0,1,1,2.6390573296152584,2.2905552238882727
0,1,1,19.0,0,0,13.0,2,2,1,1,0,0,1,2.6390573296152584,2.2905552238882727
1,2,0,19.0,1,0,7.8542,2,3,2,0,0,1,0,2.180891922715322,1.93903704877462
1,1,1,3.0,1,1,26.0,2,2,3,0,0,1,0,3.295836866004329,2.7645396242206477
1,0,0,44.0,0,0,27.7208,0,1,2,0,1,1,1,3.357621598945279,2.8073914873062176
1,0,0,58.0,0,0,146.5208,0,1,2,0,1,1,1,4.993969182787072,3.8425117596934406
0,2,1,42.0,0,1,8.4042,2,3,1,1,0,0,0,2.2411563979973974,1.9862917739985766
0,1,0,24.0,0,0,13.0,2,2,2,0,0,0,1,2.6390573296152584,2.2905552238882727
0,2,1,28.0,0,0,9.5,2,3,1,1,0,0,1,2.3513752571634776,2.0719107020982
0,2,1,34.0,0,0,6.4958,2,3,1,1,0,0,1,2.0143428636837015,1.8068013923774138
0,2,1,45.5,0,0,7.225,0,3,1,1,1,0,1,2.1071782966514356,1.880809033479897
1,2,1,18.0,0,0,8.05,2,3,1,1,0,1,1,2.2027647577118348,1.9562242515698263
0,2,0,2.0,0,1,10.4625,2,3,3,0,0,0,0,2.4390808375825834,2.139303403688695
0,2,1,32.0,1,0,15.85,2,3,1,1,0,0,0,2.8243506567983707,2.427762883745839
1,2,1,26.0,0,0,18.7875,0,3,1,1,1,1,1,2.9850504252071306,2.5445159269518127
1,2,0,16.0,0,0,7.75,1,3,2,0,2,1,1,2.169053700369523,1.9297175682817873
1,0,1,40.0,0,0,31.0,0,1,1,1,1,1,1,3.4657359027997265,2.8816789487070023
0,2,1,24.0,0,0,7.05,2,3,1,1,0,0,1,2.0856720914304723,1.8637316568815194
1,1,0,35.0,0,0,21.0,2,2,2,0,0,1,1,3.091042453358316,2.6204004582415186
0,2,1,22.0,0,0,7.25,2,3,1,1,0,0,1,2.1102132003465894,1.883215700692515
0,2,1,24.0,1,0,7.75,1,3,1,1,2,0,0,2.169053700369523,1.9297175682817873
1,0,0,31.0,1,0,113.275,0,1,2,0,1,1,0,4.738607824217808,3.6929863575675443
1,2,0,27.0,0,0,7.925,2,3,2,0,0,1,1,2.188856327665703,1.9453000941564331
0,1,1,42.0,1,0,27.0,2,2,1,1,0,0,0,3.332204510175204,2.7897982793798195
1,0,0,32.0,0,0,76.2917,0,1,2,0,1,1,1,4.347586575960343,3.4557301075592717
0,1,1,30.0,0,0,10.5,2,2,1,1,0,0,1,2.4423470353692043,2.1418006055672634
1,2,1,16.0,0,0,8.05,2,3,1,1,0,1,1,2.2027647577118348,1.9562242515698263
0,1,1,27.0,0,0,13.0,2,2,1,1,0,0,1,2.6390573296152584,2.2905552238882727
0,2,1,51.0,0,0,8.05,2,3,1,1,0,0,1,2.2027647577118348,1.9562242515698263
1,0,1,38.0,1,0,90.0,2,1,1,1,0,1,0,4.51085950651685,3.556039923736847
0,2,1,22.0,0,0,9.35,2,3,1,1,0,0,1,2.336986519711378,2.060792229591371
1,1,1,19.0,0,0,10.5,2,2,1,1,0,1,1,2.4423470353692043,2.1418006055672634
0,2,1,20.5,0,0,7.25,2,3,1,1,0,0,1,2.1102132003465894,1.883215700692515
0,1,1,18.0,0,0,13.0,2,2,1,1,0,0,1,2.6390573296152584,2.2905552238882727
0,2,0,24.0,3,1,25.4667,2,3,2,0,0,0,0,3.275887339030031,2.7506409766262077
1,0,0,35.0,1,0,83.475,2,1,2,0,0,1,0,4.436455632600354,3.510551843590931
0,2,1,29.0,0,0,7.775,2,3,1,1,0,0,1,2.1719067693519296,1.9319647182517203
0,1,1,59.0,0,0,13.5,2,2,1,1,0,0,1,2.6741486494265287,2.3167550544759803
1,2,0,5.0,4,2,31.3875,2,3,3,0,0,1,0,3.4777725458882283,2.889895044840141
0,1,1,24.0,0,0,10.5,2,2,1,1,0,0,1,2.4423470353692043,2.1418006055672634
0,2,0,24.0,0,0,7.55,2,3,2,0,0,0,1,2.145931282948669,1.9114797224535416
0,1,1,44.0,1,0,26.0,2,2,1,1,0,0,0,3.295836866004329,2.7645396242206477
1,1,0,8.0,0,2,26.25,2,2,3,0,0,1,0,3.305053521109253,2.7709504887320797
0,1,1,19.0,0,0,10.5,2,2,1,1,0,0,1,2.4423470353692043,2.1418006055672634
0,1,1,33.0,0,0,12.275,2,2,1,1,0,0,1,2.5858825671280026,2.250660740065505
0,2,0,24.0,1,0,14.4542,0,3,2,0,1,0,0,2.737880811060884,2.36408082925627
0,1,1,29.0,0,0,10.5,2,2,1,1,0,0,1,2.4423470353692043,2.1418006055672634
0,2,1,22.0,0,0,7.125,2,3,1,1,0,0,1,2.094945728215801,1.8711005037997726
0,2,1,30.0,0,0,7.225,0,3,1,1,1,0,1,2.1071782966514356,1.880809033479897
0,0,1,44.0,2,0,90.0,1,1,1,1,2,0,0,4.51085950651685,3.556039923736847
0,2,0,25.0,0,0,7.775,2,3,2,0,0,0,1,2.1719067693519296,1.9319647182517203
1,1,0,24.0,0,2,14.5,2,2,2,0,0,1,0,2.740840023925201,2.3662702112144007
1,0,1,37.0,1,1,52.5542,2,1,1,1,0,1,0,3.9806942251907276,3.223641356439257
0,1,1,54.0,1,0,26.0,2,2,1,1,0,0,0,3.295836866004329,2.7645396242206477
0,2,1,24.0,0,0,7.25,2,3,1,1,0,0,1,2.1102132003465894,1.883215700692515
0,2,0,29.0,1,1,10.4625,2,3,2,0,0,0,0,2.4390808375825834,2.139303403688695
0,0,1,62.0,0,0,26.55,2,1,1,1,0,0,1,3.3160025355989236,2.778557895881126
0,2,1,30.0,1,0,16.1,2,3,1,1,0,0,0,2.8390784635086144,2.438549167642342
0,2,0,41.0,0,2,20.2125,2,3,2,0,0,0,0,3.0545906305603445,2.5944026805546554
1,2,0,29.0,0,2,15.2458,0,3,2,0,1,1,0,2.7878344138303452,2.4009437945387266
1,0,0,37.0,0,0,79.2,0,1,2,0,1,1,1,4.384523514872469,3.478580940761489
1,0,0,30.0,0,0,86.5,2,1,2,0,0,1,1,4.471638793363569,3.532108069443433
1,0,0,35.0,0,0,512.3292,0,1,2,0,1,1,1,6.240917354759096,4.515260444650866
1,1,0,50.0,0,1,26.0,2,2,2,0,0,1,0,3.295836866004329,2.7645396242206477
1,2,1,3.0,4,2,31.3875,2,3,3,0,0,1,0,3.4777725458882283,2.889895044840141
0,0,1,52.0,1,1,79.65,2,1,1,1,0,0,0,4.390118804571218,3.482034346272427
0,0,1,40.0,0,0,0.0,2,1,1,1,0,0,1,0.0,0.0
0,2,0,24.0,0,0,7.75,1,3,2,0,2,0,1,2.169053700369523,1.9297175682817873
0,1,1,36.0,0,0,10.5,2,2,1,1,0,0,1,2.4423470353692043,2.1418006055672634
0,2,1,16.0,4,1,39.6875,2,3,1,1,0,0,0,3.705920919968788,3.043587395129805
1,2,1,25.0,1,0,7.775,2,3,1,1,0,1,0,2.1719067693519296,1.9319647182517203
1,0,0,58.0,0,1,153.4625,2,1,2,0,0,1,0,5.039951348430309,3.8689929845677504
1,0,0,35.0,0,0,135.6333,2,1,2,0,0,1,1,4.91730069488021,3.798059301919674
0,0,1,37.0,0,0,31.0,2,1,1,1,0,0,1,3.4657359027997265,2.8816789487070023
1,2,1,25.0,0,0,0.0,2,3,1,1,0,1,1,0.0,0.0
1,1,0,41.0,0,1,19.5,2,2,2,0,0,1,0,3.0204248861443626,2.569940539317954
0,0,1,37.0,0,1,29.7,0,1,1,1,1,0,0,3.4242626545931514,2.8532862571895845
1,0,0,63.0,1,0,77.9583,2,1,2,0,0,1,0,4.368919865004903,3.4689391531100418
0,2,0,45.0,0,0,7.75,2,3,2,0,0,0,1,2.169053700369523,1.9297175682817873
0,1,1,29.0,0,0,0.0,2,2,1,1,0,0,1,0.0,0.0
0,2,1,7.0,4,1,29.125,1,3,3,0,2,0,0,3.405355391810819,2.840299252028104
1,2,0,35.0,1,1,20.25,2,3,2,0,0,1,0,3.056356895370426,2.5956648013925827
0,2,1,65.0,0,0,7.75,1,3,1,1,2,0,1,2.169053700369523,1.9297175682817873
0,2,1,28.0,0,0,7.8542,2,3,1,1,0,0,1,2.180891922715322,1.93903704877462
0,2,1,16.0,0,0,9.5,2,3,1,1,0,0,1,2.3513752571634776,2.0719107020982
1,2,1,19.0,0,0,8.05,2,3,1,1,0,1,1,2.2027647577118348,1.9562242515698263
0,0,1,37.0,0,0,26.0,2,1,1,1,0,0,1,3.295836866004329,2.7645396242206477
0,2,1,33.0,0,0,8.6625,0,3,1,1,1,0,1,2.2682524139135403,2.0074365035447177
1,2,1,30.0,0,0,9.5,2,3,1,1,0,1,1,2.3513752571634776,2.0719107020982
0,2,1,22.0,0,0,7.8958,2,3,1,1,0,0,1,2.1855792552411137,1.9427237356264735
1,1,1,42.0,0,0,13.0,2,2,1,1,0,1,1,2.6390573296152584,2.2905552238882727
1,2,0,22.0,0,0,7.75,1,3,2,0,2,1,1,2.169053700369523,1.9297175682817873
1,0,0,26.0,0,0,78.85,2,1,2,0,0,1,1,4.380149874661021,3.475880055399015
1,0,0,19.0,1,0,91.0792,0,1,2,0,1,1,0,4.5226490762785785,3.5632135736097426
0,1,1,36.0,0,0,12.875,0,2,1,1,1,0,1,2.630088659632498,2.283842807203021
0,2,0,24.0,0,0,8.85,2,3,2,0,0,0,1,2.2874714551839976,2.022396177868413
0,2,1,24.0,0,0,7.8958,2,3,1,1,0,0,1,2.1855792552411137,1.9427237356264735
0,2,1,23.5,0,0,7.2292,0,3,1,1,1,0,1,2.1076888046179385,1.8812139205814788
0,0,0,2.0,1,2,151.55,2,1,3,0,0,0,0,5.027492411162679,3.8618310797717506
1,0,1,37.0,0,0,30.5,2,1,1,1,0,1,1,3.449987545831587,2.8709128334804723
